video_id,video_path,signs_detected,signwriting,translation,full_text,duration,fps,time_total_ms,time_pose_extraction_ms,time_segmentation_ms,time_transcription_ms,time_translation_ms,status,error
8kr8G6TzCbM-00:07:58.117-00:08:11.524,/work3/s235253/openaslcropped/8kr8G6TzCbM-00:07:58.117-00:08:11.524.mp4,0,,,,16.12,25.0,22144.11,21951.69,33.5,0.0,0.0,success,
9GhUO_jopI0-00:03:13.460-00:03:24.000,/work3/s235253/openaslcropped/9GhUO_jopI0-00:03:13.460-00:03:24.000.mp4,10,M500x500S36a00482x477S18000512x518S26600519x503|M500x500S36a00482x477S18000511x512S18000510x512S18000510x512|M500x500S36a00482x477S18000512x512S18000511x526|M500x500S30007482x483S1dc01511x489S20600519x489|M500x500S36a00482x477S18000512x518S20600467x518|M500x500S36a00482x477S18000511x512S18000510x511S22a04510x526|M500x500S36a00482x477S18000512x518S20600467x518|M500x500S36a00482x477S18000503x512S20600489x512|M500x500S36d00479x467S15d04503x478S15d04489x497|M500x500S36a00482x477S18000503x512S18000503x511S22a04503x489,invoice|Feb0uary|Feb0uary|simple|fullofcovering|enough|fullofcovering|fullofcovering|past|enough,invoice Feb0uary Feb0uary simple fullofcovering enough fullofcovering fullofcovering past enough,12.64,25.0,19370.99,17540.32,27.46,1492.07,191.09,success,
BXjgMNlzXts-00:01:58.439-00:02:07.000,/work3/s235253/openaslcropped/BXjgMNlzXts-00:01:58.439-00:02:07.000.mp4,1,M500x500S36d00479x467S1dc01503x489S1dc01503x489S20500489x473S20500503x489,have,have,8.24,25.0,11609.43,10672.76,16.42,827.03,11.82,success,
BLVDbsj7Xo4-00:05:50.557-00:05:54.687,/work3/s235253/openaslcropped/BLVDbsj7Xo4-00:05:50.557-00:05:54.687.mp4,3,M500x500S36a00482x477S18000503x512S18000503x512S18000503x512|M500x500S15030507x478S15030480x478S22a04509x504S22a14480x503|M500x500S36d00479x467S36d00479x526S15030510x463S15030510x463S26500510x463S26510478x463,Feb0uary|heavy|want,Feb0uary heavy want,4.0,25.0,5871.41,4886.99,11.66,870.59,56.36,success,
D9HR4q0vbwE-00:05:21.987-00:05:31.747,/work3/s235253/openaslcropped/D9HR4q0vbwE-00:05:21.987-00:05:31.747.mp4,0,,,,9.4,25.0,11672.91,11560.02,19.11,0.0,0.0,success,
yLfw4Ickjcg-00:07:17.959-00:07:28.360,/work3/s235253/openaslcropped/yLfw4Ickjcg-00:07:17.959-00:07:28.360.mp4,2,M500x500S33100482x482S14c00520x489S21600520x489|M500x500S30000482x483S1dc00489x470S20600467x473,breathe|lesbian,breathe lesbian,12.52,25.0,16492.06,15365.12,24.48,946.27,32.7,success,
fyWOxU3YUq8-00:08:57.759-00:09:10.399,/work3/s235253/openaslcropped/fyWOxU3YUq8-00:08:57.759-00:09:10.399.mp4,0,,,,15.16,25.0,18806.36,18630.14,28.79,0.0,0.0,success,
9MBFq3hQGB0-00:00:20.280-00:00:27.160,/work3/s235253/openaslcropped/9MBFq3hQGB0-00:00:20.280-00:00:27.160.mp4,5,M500x500S36d00479x467S36d00479x536S15d31517x503S15d39473x503|M500x500S36d00479x467S15d31511x478S15d39473x478S22a04513x507S22a04513x507S22a04513x507|M500x500S36d00479x467S36d00479x528S15d32519x458S15d3a442x467S21600535x473S21600535x473|M500x500S36d00479x480S15d31511x478S15d39473x478S20500509x497|M500x500S30000482x483S30004482x483S14c30482x511S22a04510x512S22a04510x512,House|young-(situation)|leap|love|Czech,House young-(situation) leap love Czech,8.28,25.0,12116.57,10555.03,18.97,1371.27,91.72,success,
D9HR4q0vbwE-00:20:51.955-00:20:53.250,/work3/s235253/openaslcropped/D9HR4q0vbwE-00:20:51.955-00:20:53.250.mp4,5,M500x500S36d00479x480S15d31510x503S20600463x489|M500x500S36d00479x480S20332476x497S20600466x503|M500x500S15030507x479S15038472x496S27100532x503S27114440x507|M500x500S36d00479x480S15d31503x505S15d39473x503S20500473x487S20500473x503|M500x500S2ff00482x447S35d10495x467S17610501x486S17618483x486S20500495x486S2fb04492x548S22f02509x515S22f16479x515,Friend|numbers|gossip|fatigued|buffalo,Friend numbers gossip fatigued buffalo,1.28,25.0,3089.43,1683.98,11.03,1299.23,88.91,success,
Ct-0LgiwtBs-00:10:45.039-00:11:02.240,/work3/s235253/openaslcropped/Ct-0LgiwtBs-00:10:45.039-00:11:02.240.mp4,5,M500x500S36d00479x467S1dc04504x467S1dc0c478x489S26504510x497|M500x500S30007482x482S1dc01510x497S20500509x474S22a07525x474|M500x500S30000482x483S1dc00489x470S20600467x473|M500x500S36a00482x477S18000512x512S15d04503x489S20600467x489|M500x500S36d00479x480S15030517x480S15030510x474S26600512x474,slip|thought|lesbian|inflammation|Quit,slip thought lesbian inflammation Quit,20.64,25.0,28922.89,27171.36,35.42,1416.09,99.59,success,
FSTcHQ4yBbw-00:06:49.240-00:06:53.519,/work3/s235253/openaslcropped/FSTcHQ4yBbw-00:06:49.240-00:06:53.519.mp4,1,M500x500S36d00479x467S15d31511x478S15d39473x478S20600489x473,difficulty,difficulty,4.12,25.0,6513.96,5405.23,15.78,1025.03,23.31,success,
2Wsw0KI-yQg-00:20:12.048-00:20:15.164,/work3/s235253/openaslcropped/2Wsw0KI-yQg-00:20:12.048-00:20:15.164.mp4,0,,,,3.0,25.0,4066.39,4021.63,11.05,0.0,0.0,success,
20L1KcP9Zeo-00:00:43.840-00:00:58.679,/work3/s235253/openaslcropped/20L1KcP9Zeo-00:00:43.840-00:00:58.679.mp4,16,M500x500S36a00482x477S15d32503x526S15d32503x526S20600467x526|M500x500S36a00482x477S18000512x512S18000511x526S26600511x526|M500x500S36d00479x467S1dc04504x489S1dc0c489x489S20500511x489|M500x500S36d00479x467S36d00479x536S15d31516x517S15d39473x517|M500x500S30000482x483S30004482x483S20600519x489|M500x500S36d00479x473S15d00489x473S15d04489x489S20600489x497|M500x500S30000482x482S30004482x482S20600519x489|M500x500S30000482x483S30004482x483S20600519x489|M500x500S20330482x482S20330482x482|M500x500S30000482x482S1dc00503x478S20600489x512|M500x500S36a00482x477S18000510x512S18000510x511S22a04510x512|M500x500S36d00479x473S37605478x473S15d31516x473S2b703532x489|M500x500S30001482x482S30007482x482S20600519x473|M500x500S33b00482x482S16d30520x497S16d30520x497S16d38463x497|M500x500S30000482x483S30004482x483S20600519x489|M500x500S36d00479x467S1dc04504x489S1dc0c489x489S20500511x489,doll|elevate|2nd|House|easy|abdomen|easy|easy|drawingmachine|lesbian|enough|birth|mental|drink|easy|2nd,doll elevate 2nd House easy abdomen easy easy drawingmachine lesbian enough birth mental drink easy 2nd,17.84,25.0,25680.53,23415.72,33.83,1827.39,226.15,success,
FV4HBtRL89c-00:02:43.080-00:02:57.927,/work3/s235253/openaslcropped/FV4HBtRL89c-00:02:43.080-00:02:57.927.mp4,6,M500x500S36d00479x467S15d31511x478S15d39473x478S20500509x497|M500x500S36d00479x480S15d31511x478S15d39473x478S22a04511x504|M500x500S30000482x483S30004482x483S1dc00503x489S1dc00498x489S20500507x489S20500473x489|M500x500S36a00482x477S18000510x512S18000510x511S22a04510x526|M500x500S36a00482x477S18000512x512S18000503x512S20600489x512|M500x500S36d00479x467S15d04489x458S15d04489x489S20600489x497,kindness|yield|sibling|enough|fullofcovering|abdomen,kindness yield sibling enough fullofcovering abdomen,14.28,25.0,20152.25,18640.93,26.63,1242.6,102.27,success,
1cT9kp1pI8A-00:04:06.621-00:04:21.468,/work3/s235253/openaslcropped/1cT9kp1pI8A-00:04:06.621-00:04:21.468.mp4,3,M500x500S36d00479x467S1dc04504x489S1dc0c478x489|M500x500S33b00482x483S15030489x512S27100504x536|M500x500S30000482x483S30004482x483S20600520x473,lord|warm|easy,lord warm easy,14.24,25.0,20429.24,19070.32,30.88,1142.82,46.55,success,
B7ovyGxt_xk-00:00:12.199-00:00:18.160,/work3/s235253/openaslcropped/B7ovyGxt_xk-00:00:12.199-00:00:18.160.mp4,0,,,,5.72,25.0,7823.9,7747.31,17.55,0.0,0.0,success,
0AQHLPt8NDk-00:01:56.215-00:02:00.486,/work3/s235253/openaslcropped/0AQHLPt8NDk-00:01:56.215-00:02:00.486.mp4,7,M500x500S36d00479x467S1dc04504x489S1dc0c489x503|M500x500S36a00482x477S18000512x518S26600519x506S26600519x506|M500x500S36d00479x473S37601478x474S20331489x473S22a07489x473|M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500511x489S20500473x489|M500x500S15030507x463S15038473x463S26504518x496S26514473x496|M500x500S36d00479x467S1dc04503x489S1dc0c478x489S20500509x489S20500482x489S20500473x503|M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500509x489S20500473x489S20500473x489,lord|invoice|coerce|2nd|want|toilet|toilet,lord invoice coerce 2nd want toilet toilet,5.16,25.0,8684.5,7006.99,16.39,1501.5,108.93,success,
EslZp7UiTck-00:15:29.695-00:15:32.230,/work3/s235253/openaslcropped/EslZp7UiTck-00:15:29.695-00:15:32.230.mp4,1,M500x500S36d00479x473S37601478x474S20331497x477S22a07482x477S15031489x470,poverty,poverty,3.04,25.0,5249.89,4120.69,12.81,1067.82,17.6,success,
zCjNh65JKWs-00:11:14.200-00:11:21.000,/work3/s235253/openaslcropped/zCjNh65JKWs-00:11:14.200-00:11:21.000.mp4,5,M500x500S36a00482x477S18000503x512S18000503x512S20600489x512|M500x500S1dc00489x467S1dc0c489x467|M500x500S36d00479x480S15d31516x478S20600467x489|M500x500S15030507x478S15030507x478|M500x500S33b00482x483S16d30520x497S16d30520x497S16d38463x497,fullofcovering|Feb0uary|Friend|unbelievable|drink,fullofcovering Feb0uary Friend unbelievable drink,8.16,25.0,12577.08,11027.17,21.87,1354.47,92.18,success,
2Wsw0KI-yQg-00:13:49.250-00:13:54.791,/work3/s235253/openaslcropped/2Wsw0KI-yQg-00:13:49.250-00:13:54.791.mp4,4,M500x500S36d00479x467S1dc04503x489S1dc0c478x489S20500S20500p496|M500x500S33b00482x483S20330489x526S20330489x526S27100489x549|M500x500S33b00482x483S20330511x505S20330482x511S22a04511x505|M500x500S36d00479x480S20330480x510S20330480x510S26500510x474,lord|interview|old|open(drawer),lord interview old open(drawer),5.32,25.0,8809.92,7496.41,16.53,1152.76,91.54,success,
cvqbe6xyT7Y-00:05:27.860-00:05:36.970,/work3/s235253/openaslcropped/cvqbe6xyT7Y-00:05:27.860-00:05:36.970.mp4,3,M500x500S30000482x483S30004482x483S20600520x474|M500x500S36d00479x467S36d00480x536S15d31516x517S15d39463x517|M500x500S36d00479x467S1dc04504x489S1dc0c478x489,easy|House|lord,easy House lord,21.88,25.0,31048.46,29580.72,43.99,1161.29,46.6,success,
0ulVg4h6W9E-00:06:20.846-00:06:43.370,/work3/s235253/openaslcropped/0ulVg4h6W9E-00:06:20.846-00:06:43.370.mp4,0,,,,27.04,25.0,37160.34,36835.55,59.52,0.0,0.0,success,
ziFmcT4dE8I-00:15:43.274-00:15:53.494,/work3/s235253/openaslcropped/ziFmcT4dE8I-00:15:43.274-00:15:53.494.mp4,3,M500x500S15d30489x473S15d30489x473S20600503x489|M500x500S15030507x478S15038473x480S27100536x507S27114440x507|M500x500S36d00479x475S15d31517x478S15d39473x478S22a04512x507S22a14473x507,study|gossip|here,study gossip here,9.84,25.0,15044.93,13740.95,23.12,1133.54,50.04,success,
yYYYXAAbH7A-00:05:28.452-00:05:43.634,/work3/s235253/openaslcropped/yYYYXAAbH7A-00:05:28.452-00:05:43.634.mp4,0,,,,14.6,25.0,20137.55,19960.23,29.73,0.0,0.0,success,
7JF1onKatVI-00:09:20.519-00:09:24.440,/work3/s235253/openaslcropped/7JF1onKatVI-00:09:20.519-00:09:24.440.mp4,1,M500x500S36a00482x477S15d32503x526S20600489x545,neck,neck,3.8,25.0,6318.38,5212.8,14.52,1035.1,14.59,success,
0ozA6CspdcQ-00:08:31.120-00:08:33.100,/work3/s235253/openaslcropped/0ozA6CspdcQ-00:08:31.120-00:08:33.100.mp4,6,M500x500S2ff00482x483S26b14419x508S36d00479x530S26b04553x507S14c01524x491S14c09450x494|M500x500S36d00479x473S37601478x474S20331517x477S22a07517x477S15031517x510S15030473x510S20500473x503|M500x500S36d00479x480S15d31517x480S15d39473x478S20500509x473|M500x500S36d00479x475S15d31517x478S15d39473x478S20500509x497|M500x500S36d00479x480S15032507x480S1503a463x480S22a04509x507S22a14473x507|M500x500S30000482x483S30004482x483S20500512x474S26600512x474S26600512x474,atmosphere|poverty|heart|kindness|heavy|Paraguayan,atmosphere poverty heart kindness heavy Paraguayan,2.4,25.0,4666.79,3105.13,11.6,1431.81,106.58,success,
e0bxKJXsUyw-00:11:28.480-00:11:30.341,/work3/s235253/openaslcropped/e0bxKJXsUyw-00:11:28.480-00:11:30.341.mp4,3,M500x500S15d30489x473S15d30489x473S2b705503x489|M500x500S36d00479x473S37601478x474S20331504x474S20339477x474S20500504x517|M500x500S30000482x483S30004482x483S20600511x517,tooffer|Squeeze|easy,tooffer Squeeze easy,2.24,25.0,4242.41,3082.45,11.68,1070.95,51.68,success,
D9HR4q0vbwE-00:24:18.957-00:24:20.750,/work3/s235253/openaslcropped/D9HR4q0vbwE-00:24:18.957-00:24:20.750.mp4,5,M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500S20500p511S20500p473S20500p489|M500x500S36d00479x465S1dc04504x474S1dc0c478x516S20500509x516S20500482x516S20500509x516S20500482x477|M500x500S33b00482x483S16d30520x497S16d30520x497S16d38463x498|M500x500S36d00479x473S37609477x474S20331477x473S26507509x473|M500x500S36d00479x480S20332473x505S20500473x505S20500473x505S20500473x489,lord|toilet|drink|Scotland|love,lord toilet drink Scotland love,1.72,25.0,4071.25,2322.04,10.43,1635.93,83.19,success,
AdDxgNZ7nC0-00:06:29.956-00:06:36.228,/work3/s235253/openaslcropped/AdDxgNZ7nC0-00:06:29.956-00:06:36.228.mp4,0,,,,7.52,25.0,10281.85,10186.87,19.16,0.0,0.0,success,
iFAIfRLaB64-00:02:59.400-00:03:04.039,/work3/s235253/openaslcropped/iFAIfRLaB64-00:02:59.400-00:03:04.039.mp4,2,M500x500S36d00479x467S1dc04504x489S1dc0c489x503|M500x500S30001482x482S30007482x482S10e31519x482S20500482x482S20500482x482,lord|Mexico,lord Mexico,4.48,25.0,7303.8,6059.87,15.99,1147.81,34.77,success,
eK0qbGyQ-eA-00:08:07.694-00:08:20.290,/work3/s235253/openaslcropped/eK0qbGyQ-eA-00:08:07.694-00:08:20.290.mp4,1,M500x500S36d00479x467S15d31511x478S15d39473x478S20600489x473,difficulty,difficulty,12.12,25.0,17756.88,16477.0,26.06,1097.99,31.32,success,
8Pgz-GaUC6M-00:10:53.778-00:11:05.081,/work3/s235253/openaslcropped/8Pgz-GaUC6M-00:10:53.778-00:11:05.081.mp4,0,,,,10.88,25.0,14907.83,14774.22,24.14,0.0,0.0,success,
zl5Q-PahKrQ-00:06:44.879-00:06:59.060,/work3/s235253/openaslcropped/zl5Q-PahKrQ-00:06:44.879-00:06:59.060.mp4,0,,,,17.04,25.0,23626.88,23420.77,35.74,0.0,0.0,success,
FSTcHQ4yBbw-00:00:16.359-00:00:19.000,/work3/s235253/openaslcropped/FSTcHQ4yBbw-00:00:16.359-00:00:19.000.mp4,6,M500x500S33b00482x482S16d30520x497S16d30520x497S16d38463x497|M500x500S33b00482x48330482x482p483S20600525x503|M500x500S30000482x483S30004482x483S20600519x489|M500x500S36d00479x473S37609477x473S20331519x473S26507519x473S26511463x473|M500x500S30000482x483S1dc00497x489S20500482x477S26504525x489|M500x500S30000482x483S20600489x470,drink|lips|easy|Scotland|daybeforeyesterday|pat0ol,drink lips easy Scotland daybeforeyesterday pat0ol,2.56,25.0,4889.75,3434.24,12.7,1294.44,123.13,success,
2Wsw0KI-yQg-00:08:32.832-00:08:42.000,/work3/s235253/openaslcropped/2Wsw0KI-yQg-00:08:32.832-00:08:42.000.mp4,0,,,,8.84,25.0,12169.66,12058.46,22.08,0.0,0.0,success,
BVrZ2mPsdS0-00:10:51.500-00:11:10.875,/work3/s235253/openaslcropped/BVrZ2mPsdS0-00:10:51.500-00:11:10.875.mp4,16,M500x500S20330482x477S20330482x482S20600466x482|M500x500S36d00479x473S37601478x474S20331510x478S22a00510x478S22a00510x478S22a00510x478|M500x500S30000482x483S30004482x483S20600520x473|M500x500S30000482x483S1dc00497x473S20600489x512|M500x500S36d00479x467S1dc04504x489S1dc0c478x489|M500x500S36d00479x480S15032473x480S15032473x480S22a04509x510|M500x500S36d00479x480S15d33510x503S20600472x503|M500x500S36d00479x467S15d31511x478S15d39473x478S20500509x473S20500473x503|M500x500S15030507x474S15030480x474S22a00509x497S22a00509x497|M500x500S36d00479x467S15d32503x467S15d3a482x467S22a04511x489S22a04503x489S22a04503x489|M500x500S30000482x483S30004482x483S10000507x478S20500509x473S20500520x489S20500473x489|M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500509x489S20500511x489S20500473x489|M500x500S36d00479x480S15d31517x478S20600467x512|M500x500S30000482x483S30004482x483S20600519x489|M500x500S30000482x483S30004482x483S20600504x474|M500x500S33100482x482S14c00521x489S21600521x473,work|embrace|easy|lesbian|lord|upset|companion|fatigued|wanted|left-handed|deaf|toilet|Friend|easy|easy|snuffed,work embrace easy lesbian lord upset companion fatigued wanted left-handed deaf toilet Friend easy easy snuffed,18.6,25.0,27974.84,25490.83,36.77,2007.25,259.57,success,
dOBaV-PhD-s-00:02:37.520-00:02:56.060,/work3/s235253/openaslcropped/dOBaV-PhD-s-00:02:37.520-00:02:56.060.mp4,4,M500x500S36d00479x467S15d31516x467S20600489x467|M500x500S30000482x483S30004482x483S20600519x489|M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500511x489|M500x500S36d00479x467S15d31511x478S15d39473x478S22a04512x512S22a04512x512S22a04512x512,Friend|easy|2nd|right-shouldered,Friend easy 2nd right-shouldered,22.24,25.0,32127.59,30563.42,40.28,1232.81,73.07,success,
2Wsw0KI-yQg-00:06:15.375-00:06:43.165,/work3/s235253/openaslcropped/2Wsw0KI-yQg-00:06:15.375-00:06:43.165.mp4,0,,,,26.68,25.0,36663.23,36339.05,49.62,0.0,0.0,success,
D9HR4q0vbwE-00:25:08.006-00:25:14.304,/work3/s235253/openaslcropped/D9HR4q0vbwE-00:25:08.006-00:25:14.304.mp4,2,M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500511x489S20500473x489|M500x500S36d00479x473S37601478x473S15d31489x473S20600489x473,2nd|cough,2nd cough,6.08,25.0,9430.19,8187.6,18.28,1123.05,35.46,success,
G34h0hn3T5k-00:15:05.821-00:15:07.322,/work3/s235253/openaslcropped/G34h0hn3T5k-00:15:05.821-00:15:07.322.mp4,1,M500x500S36d00479x480S20332473x510S20332512x510S26502528x478,wearshoes,wearshoes,1.44,25.0,3134.98,1948.98,10.06,1136.61,19.64,success,
AgraECvNR1A-00:04:22.639-00:04:32.079,/work3/s235253/openaslcropped/AgraECvNR1A-00:04:22.639-00:04:32.079.mp4,0,,,,11.32,25.0,15818.46,15679.51,25.17,0.0,0.0,success,
2Wsw0KI-yQg-00:13:03.791-00:13:05.666,/work3/s235253/openaslcropped/2Wsw0KI-yQg-00:13:03.791-00:13:05.666.mp4,0,,,,1.8,25.0,2467.79,2435.12,10.77,0.0,0.0,success,
hHxhQ-5ms18-00:05:08.420-00:05:19.959,/work3/s235253/openaslcropped/hHxhQ-5ms18-00:05:08.420-00:05:19.959.mp4,1,M500x500S36d00479x467S1dc04504x489S1dc0c478x489,lord,lord,13.84,25.0,20023.8,18757.22,29.45,1076.88,19.94,success,
8Pgz-GaUC6M-00:05:48.848-00:06:24.300,/work3/s235253/openaslcropped/8Pgz-GaUC6M-00:05:48.848-00:06:24.300.mp4,0,,,,34.0,25.0,46435.89,46028.85,63.7,0.0,0.0,success,
5cjkZmWlhKE-00:07:44.839-00:07:46.139,/work3/s235253/openaslcropped/5cjkZmWlhKE-00:07:44.839-00:07:46.139.mp4,3,M500x500S30000482x483S30004482x483S14430510x472S14430510x472S20500509x472S20500473x472S2b700507x472|M500x500S36d00479x473S37601478x473S37605473x474S36d00479x536S15d31516x517|M500x500S36d00479x467S1dc04504x489S1dc0c478x489S20500511x489S20500473x489,create|breastfeed|2nd,create breastfeed 2nd,1.56,25.0,3614.5,2155.27,10.27,1371.13,59.17,success,
yLfw4Ickjcg-00:00:27.920-00:00:29.160,/work3/s235253/openaslcropped/yLfw4Ickjcg-00:00:27.920-00:00:29.160.mp4,1,M500x500S36d00479x473S37605473x474S20332473x467S26607509x473,slave,slave,1.52,25.0,3216.23,2103.17,10.43,1070.93,14.4,success,
CvlyhtXd9e8-00:05:50.983-00:05:59.059,/work3/s235253/openaslcropped/CvlyhtXd9e8-00:05:50.983-00:05:59.059.mp4,0,,,,7.76,25.0,10643.91,10543.49,20.21,0.0,0.0,success,
DxIpPTZM-tw-00:05:09.079-00:05:22.740,/work3/s235253/openaslcropped/DxIpPTZM-tw-00:05:09.079-00:05:22.740.mp4,3,M500x500S36d00479x467S1dc04504x467S1dc0c489x467|M500x500S30000482x483S30004482x483S10000518x482S10000518x482S20500520x489S20500473x489|M500x500S36d00479x467S1dc04504x426S1dc0c478x426S20500509x473S1dc00489x516S20500509x473,lord|deaf|toilet,lord deaf toilet,16.4,25.0,23802.67,22346.9,32.79,1206.6,54.79,success,
BXjgMNlzXts-00:03:39.024-00:03:44.240,/work3/s235253/openaslcropped/BXjgMNlzXts-00:03:39.024-00:03:44.240.mp4,0,,,,5.04,25.0,6931.15,6862.8,17.02,0.0,0.0,success,
ey3i9jNcat4-00:01:26.287-00:01:28.218,/work3/s235253/openaslcropped/ey3i9jNcat4-00:01:26.287-00:01:28.218.mp4,3,M500x500S33100482x483S1ed3e504x489S21600520x478|M500x500S30000482x483S30004482x483S20600489x512|M500x500S30000482x483S30004482x483S20500495x474S20500495x474S26504526x497S26514463x498,Greek|easy|Parents,Greek easy Parents,1.88,25.0,3792.25,2576.21,10.96,1138.97,47.79,success,
