video_id,translation,num_frames,error,frame_extraction_time,spatial_feature_time,motion_feature_time,inference_time,total_time,translation_en
1aIPXe8ETE0-00:03:32.000-00:03:43.620,ablau ist a bluish-toned version of the official website of the european parliament.,349.0,,0.058,19.501,39.109,2.155,61.035,ablau is a bluish-toned version of the official website of the european parliament.
045-gE1O_hQ-00:03:13.693-00:03:37.258,ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches ungemütliches,707.0,,0.115,39.951,81.324,4.259,125.86,uncomfortable uncomfortable uncomfortable uncomfortable uncomfortable uncomfortable uncomfortable uncomfortable
gdVQKVcjBO8-00:10:00.080-00:10:07.960,es ändert sich vorübergehend dieses wetter mit wechselhaftem wechselhaftem hochdruckwetter mit lokalen schauern und wechselhaftem wetter.,237.0,,0.043,13.246,26.032,3.751,43.248,it temporarily changes this weather with alternating high-pressure weather with local showers and alternating weather.
EiPus06oKy0-00:01:45.649-00:01:57.700,etabliert sich das wetter so richtig am wenigstens hier im südwesten europas ettinte blau grün elinte blau grün in den osten walds bei schottland walds,362.0,,0.062,20.71,41.275,4.319,66.579,the weather is really established at least here in the south west of Europe ettinte blue green elinte blue green in the east forest near Scotland forest
4SVP0ShrpN0-00:02:19.582-00:02:30.332,figuratively hier hier figurative figurative figurative figurative hier figurative figurative figurative hier figurative figurative figurative hier figurative figurative figurative hier figurative figurative figurative hier figurative ,323.0,,0.056,20.836,36.316,4.23,61.631,figuratively here figurative figurative figurative here figurative figurative here figurative figurative here figurative figurative here figurative figurative here figurative figurative here figurative figurative here figurative figurative here
ziFmcT4dE8I-00:09:03.480-00:09:12.039,es geht weiter um die nebel lines figuratively so um die nebel lines figuratively so um die nebel lines figuratively so um die nebel lines figuratively so um die nebel lines figurative,206.0,,0.038,11.609,22.397,4.181,38.422,it goes on around the nebula lines figuratively so around the nebula lines figuratively so around the nebula lines figuratively so around the nebula lines figuratively so around the nebula lines figuratively so around the nebula lines figuratively
8kr8G6TzCbM-00:07:58.117-00:08:11.524,na rüta na rüta na rüta na rüta na rüta na rüta na rüta na rüta na rüta,403.0,,0.068,22.957,45.324,4.211,72.765,na ruta na ruta na ruta na ruta na ruta na ruta na ruta na ruta na ruta
9GhUO_jopI0-00:03:13.460-00:03:24.000,e e e e bläst ungewöhnlich vor dem südwesten aber e e bläst ungewöhnlich vor dem ostsrück e e bläst drin aus den hohen mittelmeer,316.0,,0.055,18.232,35.518,4.219,58.208,e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e
BXjgMNlzXts-00:01:58.439-00:02:07.000,a large iceberg überquet a large océan über osteuropa wobei e kleit vor allem in böen und ostfären.,206.0,,0.036,11.787,22.705,2.946,37.65,"a large iceberg over a large océan over eastern Europe, with e kleit mainly in Bohemia and eastern Germany."
BLVDbsj7Xo4-00:05:50.557-00:05:54.687,e e änder sich fast nichts aber e actuelt e änder sich wieder ein rücksrück auf den weg schritte schritte.,100.0,,0.021,5.696,10.278,2.858,19.066,e e change almost nothing but e actuelt e change again a back to the steps of the way.
D9HR4q0vbwE-00:05:21.987-00:05:31.747,"in skandinavien, skandinavia, skandinavia, skandinavia, skandinavia, skandinavia, skandinavia, skandinavia, skandinavia",235.0,,0.042,13.346,28.681,4.176,46.421,"in Scandinaviania, Scandinaviania, Scandinaviania, Scandinaviania, Scandinaviania, Scandinaviania"
yLfw4Ickjcg-00:07:17.959-00:07:28.360,"es gibt viele verschiedene strom von ostsee bis nach eura und osteuropa es gibt vielfältige strom von ost, eura und osteuropa bis nach europa.",313.0,,0.054,17.705,35.316,3.211,56.466,"there are many different currents from eastern lake to eura and eastern Europe there are many different currents from east, eura and eastern Europe to Europe."
fyWOxU3YUq8-00:08:57.759-00:09:10.399,es wurde bereits im laufe des tages schrittweise schrittweise schrittweise schrittweise schrittweise schrittweise schrittweise schrittweise ein schritt schritt schritt schritt schritt schritt schritt schritt schritt schritt schritt schritt ,379.0,,0.064,21.702,43.972,4.193,70.14,it has already been step by step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step step
9MBFq3hQGB0-00:00:20.280-00:00:27.160,lüdde blüht das grüne wald of aaa und ostfalen aus dem östlichen ostsüdost.,207.0,,0.037,11.779,23.628,4.171,39.79,lüdde flowers the green forest of aaa and eastfalen from the eastern southeastern.
D9HR4q0vbwE-00:20:51.955-00:20:53.250,in den südlandes sterreich und südostfriesland.,32.0,,0.011,1.846,2.908,1.63,6.589,in the southern part of Austria and south-east of Friesland.
Ct-0LgiwtBs-00:10:45.039-00:11:02.240,es weht ein mäßiges wind im nordöstlichen direction richtung ostseeküste oder ostseeküste richtung westen oder südostwind.,516.0,,0.083,30.325,58.331,4.195,93.12,it blows a moderate wind in the northeast direction towards the east coast or east coast towards the west or south-east wind.
FSTcHQ4yBbw-00:06:49.240-00:06:53.519,eaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,103.0,,0.021,5.827,10.212,4.198,20.465,eaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
2Wsw0KI-yQg-00:20:12.048-00:20:15.164,hohen bergen widtet es ja heute mit guten guten strömen.,75.0,,0.018,4.271,7.636,2.215,14.325,high mountains it dedicates today with good good streams.
20L1KcP9Zeo-00:00:43.840-00:00:58.679,a starke blühigung between polar icebergs und global warming exacerbated global warming.,446.0,,0.074,24.922,49.969,4.191,79.333,a strong flowering between polar icebergs and global warming exacerbated global warming.
FV4HBtRL89c-00:02:43.080-00:02:57.927,es baut sich so schön in vielen teilen des landes es blüht aus den hohen mittelmeer raum es blüht aus den hohen mittelmeer raum es blüht,357.0,,0.061,20.134,41.608,4.173,66.182,it builds so beautiful in many parts of the country it blooms from the high Mediterranean region it blooms from the high Mediterranean region it blooms
1cT9kp1pI8A-00:04:06.621-00:04:21.468,es war unalterable den wetterdienst es ändert sich ständig es ändert sich unalterable es ändert sich ständig es ändert sich unwetterpotenzial es unwetterpotenzial ,356.0,,0.059,19.465,40.313,4.196,64.246,it was unalterable the weather service it changes constantly it changes ageable it changes constantly it changes weather potential it weather potential
B7ovyGxt_xk-00:00:12.199-00:00:18.160,nebel fängt e ihnen an auf den rhein oder nebel fängt e wahrscheinlich auf den rhein oder nea.,143.0,,0.03,8.165,14.991,3.143,26.509,nebula begins e them on the Rhine or nebula e probably catches on the Rhine or nea.
0AQHLPt8NDk-00:01:56.215-00:02:00.486,es gibt nebelfelder es gibt werte werte werte werte im südwesten werte im südosten werte im osten.,129.0,,0.028,7.478,14.112,3.17,24.968,there are nebula fields there are values values values values in the south-west values in the south-east values in the east.
EslZp7UiTck-00:15:29.695-00:15:32.230,es weht im westen ein wetter aus unterschiedlichen richtungen.,76.0,,0.018,4.309,7.623,3.707,15.835,it blows in the west a weather from different directions.
zCjNh65JKWs-00:11:14.200-00:11:21.000,es war ein turbulenceswinkel über westeuropa das heißt es blühen aus west bis nach nordost in den nächsten tagen war es plötzlich auf jeden fall an der straße weihnachts.,204.0,,0.036,13.025,22.437,4.22,39.929,it was a turbulence angle across western Europe that means it bloomed from west to north-east in the next few days it was suddenly on the road Christmas.
2Wsw0KI-yQg-00:13:49.250-00:13:54.791,und am rhein im südwesten fängt es ja schon wieder ein bisschen zu roten und stürmn in dieser ruhigen luft.,133.0,,0.027,7.588,14.128,3.171,25.095,and on the Rhine in the south west it catches again a bit to red and storms in this quiet air.
cvqbe6xyT7Y-00:05:27.860-00:05:36.970,an der ostsee bei ostsee bei ostsee bei blauen nebelflächen blau nebelflächen blau bei ostsee blau nebelflächen blau bei ostsee blau nebelflächen blau bei ostsee blau,547.0,,0.087,30.544,61.877,4.21,96.93,at the eastern lake at the eastern lake at the eastern lake at the blue fog areas blue mist areas blue at the eastern lake blue mist areas blue at the eastern lake blue mist areas blue at the eastern lake blue
0ulVg4h6W9E-00:06:20.846-00:06:43.370,und diese entwicklung stützt sich primarily in den bereichen geräumlicher interconnection ungested ungested ungested in den nächsten tagen in den nächsten tagen in den nächsten tagen global interconnections dieser entschließt unge,676.0,,0.109,37.567,76.169,4.211,118.268,and this development primarily supports in the areas of spatial interconnection unstered unstered unstered in the next days in the next days in the next days global interconnections this undecisive
ziFmcT4dE8I-00:15:43.274-00:15:53.494,es gibt diesen starkre bis stürmischen wind aus west bis nordwest es bläst derzeit aus unterschiedlichen richtungen richtungen stürmischen böen aus südwest richtung nordost.,246.0,,0.045,13.968,25.548,4.181,43.919,there is this stronger to stormy wind from west to north-west it currently blows from different directions stormy gusts from south-west direction north-east.
yYYYXAAbH7A-00:05:28.452-00:05:43.634,e                               ,365.0,,0.061,22.602,39.937,4.161,66.97,e
7JF1onKatVI-00:09:20.519-00:09:24.440,europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa.,95.0,,0.03,4.979,8.86,4.217,18.265,europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe europe .
0ozA6CspdcQ-00:08:31.120-00:08:33.100,es tauchen auf die luftdruckunterschiede.,60.0,,0.018,3.12,5.787,1.835,10.934,it dive into the air pressure differences.
e0bxKJXsUyw-00:11:28.480-00:11:30.341,es wartet auf karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte ,56.0,,0.013,3.086,5.509,4.236,13.019,it waits for map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map map
D9HR4q0vbwE-00:24:18.957-00:24:20.750,und es gibt auch noch ein paar turbulences im wüsten örtlich an den küsten.,43.0,,0.012,2.259,3.722,2.31,8.475,and there are also a few turbulences in the desert on the coasts.
AdDxgNZ7nC0-00:06:29.956-00:06:36.228,e e bläst ein stabiles wetter in europa so wird weiterhin mit stürmischen böen und türmischen böen ankommen.,188.0,,0.034,9.99,19.678,3.257,33.17,e e blows a stable weather in Europe so will continue to arrive with stormy gusts and stormy gusts.
iFAIfRLaB64-00:02:59.400-00:03:04.039,a programmed airwave programming interfaces with the programmable airwave airwave interface. programmable airwave interfaces airwave interface. programming the programmable airwave interface. programming the programmable airwave interface. programming the programmable airwave interface.,112.0,,0.033,6.046,11.641,4.201,22.101,a programmed airwave programming interfaces with the programmable airwave airwave interface. programmable airwave interfaces airwave interface. programming the programmable airwave interface. programming the programmable airwave interface.
eK0qbGyQ-eA-00:08:07.694-00:08:20.290,teleprogramm programming de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm ,303.0,,0.051,16.388,32.001,4.203,52.859,teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming teleprogramming
8Pgz-GaUC6M-00:10:53.778-00:11:05.081,und diese entwicklung es entspannt sich so ungemütlich in den jahren vergangenen tausend kilometer ersten schritte in den rung schritte schritten in den jahres vergangenen tausend kilometer ersten schritt in ,272.0,,0.047,14.357,28.622,4.328,47.533,and this development it relaxes so uncomfortable in the years past thousand kilometers first steps in the paces in the year past thousand kilometers first step in
zl5Q-PahKrQ-00:06:44.879-00:06:59.060,etablierte wetterlage im laufe des tages et wendet sich endlich wieder um diese kalte luft von westen um osten bei blauen nebel lichten blauen walden blauen wald,426.0,,0.071,22.338,46.378,4.219,73.216,established weather conditions in the course of the day et finally turns around this cold air from west to east at blue fog light blue woods blue forest
FSTcHQ4yBbw-00:00:16.359-00:00:19.000,es ist wahrscheinlich vorher noch bestimmt von hohen elen bis hohen külten hohen kelen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen,64.0,,0.023,3.537,6.314,4.229,14.28,it is probably previously determined from high elen to high cleavage high kelen high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high high
2Wsw0KI-yQg-00:08:32.832-00:08:42.000,et hat sich über den jahreszeit spanien bereits beendet denn diese évolution entspannt sich mit lokalen turbulenzen und wechselhaftem wetter während es in den nächsten tagen wechselhaftes wet,221.0,,0.04,11.743,23.748,4.325,40.033,et has already finished over the season spain because this évolution relaxes with local turbulence and changeable weather while in the next days it is changing weather
BVrZ2mPsdS0-00:10:51.500-00:11:10.875,e widened e widened e widened e widened e widened e widened e widened e widened e widened e widened e widened e widened e ,465.0,,0.077,25.504,52.332,4.192,82.315,e widened e wided e wided e wided e wided e wided e wided e wided e wided e wided e wided e wided e wided e wided e wided e wided e wided e wided e
dOBaV-PhD-s-00:02:37.520-00:02:56.060,a rückblick auf den vergangenen tagen zeigt im vergleich zu den ersten schritte in den schien jahres vergangenen tausend schritte schritte in den jahres vergangenen tausend schritte schritte in den jahres,556.0,,0.091,30.63,64.081,4.212,99.224,a review of the past days shows compared to the first steps in the seemed year past thousand steps steps in the year past thousand steps in the year
2Wsw0KI-yQg-00:06:15.375-00:06:43.165,eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eu,667.0,,0.115,35.724,74.083,4.271,114.404,eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eu
D9HR4q0vbwE-00:25:08.006-00:25:14.304,e e drewen auf den horizont e bläst weiterhin mit sicherheit e e drewen auf e e bläst weiterhin mit sicherheit e drewen und e drewen,152.0,,0.029,8.818,16.466,4.231,29.724,e e drewen on the horizon e drewen on e drewen on e drewen on e drewen on e drewen on e drewen on e drewen
G34h0hn3T5k-00:15:05.821-00:15:07.322,es bläst ein starkes wechsel mit stürmischen böen.,36.0,,0.01,2.033,2.841,2.305,7.383,it blows a strong change with stormy gusts.
AgraECvNR1A-00:04:22.639-00:04:32.079,es hat seinen rückpunkt auf den marktplatz und hat seinen blauen himmel bestimmt diese blauen wald an der ostsee es blühen im schwarzwald an der ostseeküste und im ,283.0,,0.05,15.236,31.124,4.221,50.825,it has its back to the market place and has its blue sky determines this blue forest on the eastern lake it blooms in the black forest on the eastern coast and in the
2Wsw0KI-yQg-00:13:03.791-00:13:05.666,e e grüne luft gibt es im südwesten aber auch im südosten.,45.0,,0.013,2.502,3.842,2.57,9.101,There is a green air in the south west but also in the south-east.
hHxhQ-5ms18-00:05:08.420-00:05:19.959,e luftbeeinflusst e klimatically e klimatically e energieklimatia während e klimatia im südöstlichen südöstlichen südöstlichen südöstlichen ,346.0,,0.059,19.687,39.077,4.19,63.225,e climatically e climatically e energieklimatia during e climatia in south-eastern south-east south-east south-east
8Pgz-GaUC6M-00:05:48.848-00:06:24.300,in den nächsten tagen ändert sich das wetter so ungewöhnlich so dass diese luft was so rudd wie portrayed in diesem dokument das heißt es stieg punkt dadurch dass diese luft wurde drängt und ,850.0,,0.14,48.022,101.1,4.265,153.739,in the next few days the weather changes so unusually that this air was as rudd as portrayed in this document that means it rose point because this air was pushed and
5cjkZmWlhKE-00:07:44.839-00:07:46.139,e südöstlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich,39.0,,0.013,2.251,2.819,4.229,9.484,east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east east
yLfw4Ickjcg-00:00:27.920-00:00:29.160,"e wid, e grüne luft flt von südost.",38.0,,0.012,2.165,2.845,2.294,7.489,"e wid, e green air fluffs from south east."
CvlyhtXd9e8-00:05:50.983-00:05:59.059,a wechsel between polar polarity and polar blüen.,194.0,,0.035,10.663,21.845,3.597,36.351,a change between polar polarity and polar bloom.
DxIpPTZM-tw-00:05:09.079-00:05:22.740,an ungewöhnlichen wegen wechselhaftes wetter während die luftdruckunterschiede bei lokalen strömungen drängen.,410.0,,0.068,23.233,46.676,2.886,73.041,unusual due to changeable weather while pushing the air pressure differences at local currents.
BXjgMNlzXts-00:03:39.024-00:03:44.240,januar januar januar januar januar januar januar januar januar januar januar januar januar januar januar janu,126.0,,0.025,7.381,12.981,4.221,24.824,Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar Januar
ey3i9jNcat4-00:01:26.287-00:01:28.218,e widt sich weiter richtung südost.,47.0,,0.016,2.709,3.662,2.079,8.64,e widens further south-east.
EiPus06oKy0-00:07:01.620-00:07:19.660,es gibt zahlreiche linie rückwärts rückwärts richtung osten nebula ostsüd ostsüdwest linie ostsüd ostsüd ostsüd ostsüd ostsüd ost,541.0,,0.091,31.939,62.08,4.247,98.565,there are numerous line backwards backward direction east nebula east south east south west line east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east east south east south east south east south east south east south east south east east south east south east south east south east south east south east south east east south east south east south east south east south east south east south east south east south east south east east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east south east southeast east southeast east south eastsoutheast eastsoutheast eastsoutheasteasteastsoutheasteasteastsoutheasteasteastsoutheastsoutheasteastsoutheastsoutheastsoutheastsoutheastsoutheasteastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheasteasteastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheasteastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheasteastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheasteasteasteasteasteasteastsoutheasteasteasteasteastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheastsoutheast
9GhUO_jopI0-00:05:04.519-00:05:18.000,a global research project funded by the agence financed a project d'ensemble des uvres de uvre des uvres de uvre uvred appuyad de uvre appuyad de uvre appuyad de ,405.0,,0.069,22.713,45.466,4.194,72.628,a global research project funded by the agency financed a project d'ensemble des uvres de uvres de uvres uvres appuyad de uvre appuyad de uvre appuyad de uvre
FND2JfzngVY-00:04:47.579-00:04:57.600,a lux entlhekte e qualità que chten juit jubil holc bei holk über den hollen holk über adel mit chten entheen holk e kte kte holk ,301.0,,0.053,17.161,33.944,4.188,55.557,a lux entlhekte e qualità que chten juit jubil holc bei holk über den hollen holk über adel mit chten Entheen holk e kte holk
4CZCJPhojUc-00:04:43.365-00:04:49.663,und die lüfte dreht sich langsam so dass es auffrischend und dreht.,152.0,,0.029,8.631,16.803,2.568,28.212,and the air turns slowly so that it refreshes and rotates.
