video_id,translation,num_frames,error,frame_extraction_time,spatial_feature_time,motion_feature_time,inference_time,total_time
Ct-0LgiwtBs-00:10:45.039-00:11:02.240,es weht ein mäßiges wind im nordöstlichen direction richtung ostseeküste oder ostseeküste richtung westen oder südostwind.,516,,0.083,30.325,58.331,4.195,93.12
FSTcHQ4yBbw-00:06:49.240-00:06:53.519,eaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,103,,0.021,5.827,10.212,4.198,20.465
2Wsw0KI-yQg-00:20:12.048-00:20:15.164,hohen bergen widtet es ja heute mit guten guten strömen.,75,,0.018,4.271,7.636,2.215,14.325
20L1KcP9Zeo-00:00:43.840-00:00:58.679,a starke blühigung between polar icebergs und global warming exacerbated global warming.,446,,0.074,24.922,49.969,4.191,79.333
FV4HBtRL89c-00:02:43.080-00:02:57.927,es baut sich so schön in vielen teilen des landes es blüht aus den hohen mittelmeer raum es blüht aus den hohen mittelmeer raum es blüht,357,,0.061,20.134,41.608,4.173,66.182
1cT9kp1pI8A-00:04:06.621-00:04:21.468,es war unalterable den wetterdienst es ändert sich ständig es ändert sich unalterable es ändert sich ständig es ändert sich unwetterpotenzial es unwetterpotenzial ,356,,0.059,19.465,40.313,4.196,64.246
B7ovyGxt_xk-00:00:12.199-00:00:18.160,nebel fängt e ihnen an auf den rhein oder nebel fängt e wahrscheinlich auf den rhein oder nea.,143,,0.03,8.165,14.991,3.143,26.509
0AQHLPt8NDk-00:01:56.215-00:02:00.486,es gibt nebelfelder es gibt werte werte werte werte im südwesten werte im südosten werte im osten.,129,,0.028,7.478,14.112,3.17,24.968
EslZp7UiTck-00:15:29.695-00:15:32.230,es weht im westen ein wetter aus unterschiedlichen richtungen.,76,,0.018,4.309,7.623,3.707,15.835
zCjNh65JKWs-00:11:14.200-00:11:21.000,es war ein turbulenceswinkel über westeuropa das heißt es blühen aus west bis nach nordost in den nächsten tagen war es plötzlich auf jeden fall an der straße weihnachts.,204,,0.036,13.025,22.437,4.22,39.929
2Wsw0KI-yQg-00:13:49.250-00:13:54.791,und am rhein im südwesten fängt es ja schon wieder ein bisschen zu roten und stürmn in dieser ruhigen luft.,133,,0.027,7.588,14.128,3.171,25.095
cvqbe6xyT7Y-00:05:27.860-00:05:36.970,an der ostsee bei ostsee bei ostsee bei blauen nebelflächen blau nebelflächen blau bei ostsee blau nebelflächen blau bei ostsee blau nebelflächen blau bei ostsee blau,547,,0.087,30.544,61.877,4.21,96.93
0ulVg4h6W9E-00:06:20.846-00:06:43.370,und diese entwicklung stützt sich primarily in den bereichen geräumlicher interconnection ungested ungested ungested in den nächsten tagen in den nächsten tagen in den nächsten tagen global interconnections dieser entschließt unge,676,,0.109,37.567,76.169,4.211,118.268
ziFmcT4dE8I-00:15:43.274-00:15:53.494,es gibt diesen starkre bis stürmischen wind aus west bis nordwest es bläst derzeit aus unterschiedlichen richtungen richtungen stürmischen böen aus südwest richtung nordost.,246,,0.045,13.968,25.548,4.181,43.919
yYYYXAAbH7A-00:05:28.452-00:05:43.634,e                               ,365,,0.061,22.602,39.937,4.161,66.97
7JF1onKatVI-00:09:20.519-00:09:24.440,europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa europa.,95,,0.03,4.979,8.86,4.217,18.265
0ozA6CspdcQ-00:08:31.120-00:08:33.100,es tauchen auf die luftdruckunterschiede.,60,,0.018,3.12,5.787,1.835,10.934
e0bxKJXsUyw-00:11:28.480-00:11:30.341,es wartet auf karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte karte ,56,,0.013,3.086,5.509,4.236,13.019
D9HR4q0vbwE-00:24:18.957-00:24:20.750,und es gibt auch noch ein paar turbulences im wüsten örtlich an den küsten.,43,,0.012,2.259,3.722,2.31,8.475
AdDxgNZ7nC0-00:06:29.956-00:06:36.228,e e bläst ein stabiles wetter in europa so wird weiterhin mit stürmischen böen und türmischen böen ankommen.,188,,0.034,9.99,19.678,3.257,33.17
iFAIfRLaB64-00:02:59.400-00:03:04.039,a programmed airwave programming interfaces with the programmable airwave airwave interface. programmable airwave interfaces airwave interface. programming the programmable airwave interface. programming the programmable airwave interface. programming the programmable airwave interface.,112,,0.033,6.046,11.641,4.201,22.101
eK0qbGyQ-eA-00:08:07.694-00:08:20.290,teleprogramm programming de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm de teleprogramm teleprogramm ,303,,0.051,16.388,32.001,4.203,52.859
8Pgz-GaUC6M-00:10:53.778-00:11:05.081,und diese entwicklung es entspannt sich so ungemütlich in den jahren vergangenen tausend kilometer ersten schritte in den rung schritte schritten in den jahres vergangenen tausend kilometer ersten schritt in ,272,,0.047,14.357,28.622,4.328,47.533
zl5Q-PahKrQ-00:06:44.879-00:06:59.060,etablierte wetterlage im laufe des tages et wendet sich endlich wieder um diese kalte luft von westen um osten bei blauen nebel lichten blauen walden blauen wald,426,,0.071,22.338,46.378,4.219,73.216
FSTcHQ4yBbw-00:00:16.359-00:00:19.000,es ist wahrscheinlich vorher noch bestimmt von hohen elen bis hohen külten hohen kelen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen,64,,0.023,3.537,6.314,4.229,14.28
2Wsw0KI-yQg-00:08:32.832-00:08:42.000,et hat sich über den jahreszeit spanien bereits beendet denn diese évolution entspannt sich mit lokalen turbulenzen und wechselhaftem wetter während es in den nächsten tagen wechselhaftes wet,221,,0.04,11.743,23.748,4.325,40.033
BVrZ2mPsdS0-00:10:51.500-00:11:10.875,e widened e widened e widened e widened e widened e widened e widened e widened e widened e widened e widened e widened e ,465,,0.077,25.504,52.332,4.192,82.315
dOBaV-PhD-s-00:02:37.520-00:02:56.060,a rückblick auf den vergangenen tagen zeigt im vergleich zu den ersten schritte in den schien jahres vergangenen tausend schritte schritte in den jahres vergangenen tausend schritte schritte in den jahres,556,,0.091,30.63,64.081,4.212,99.224
2Wsw0KI-yQg-00:06:15.375-00:06:43.165,eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eudicia eu,667,,0.115,35.724,74.083,4.271,114.404
D9HR4q0vbwE-00:25:08.006-00:25:14.304,e e drewen auf den horizont e bläst weiterhin mit sicherheit e e drewen auf e e bläst weiterhin mit sicherheit e drewen und e drewen,152,,0.029,8.818,16.466,4.231,29.724
G34h0hn3T5k-00:15:05.821-00:15:07.322,es bläst ein starkes wechsel mit stürmischen böen.,36,,0.01,2.033,2.841,2.305,7.383
AgraECvNR1A-00:04:22.639-00:04:32.079,es hat seinen rückpunkt auf den marktplatz und hat seinen blauen himmel bestimmt diese blauen wald an der ostsee es blühen im schwarzwald an der ostseeküste und im ,283,,0.05,15.236,31.124,4.221,50.825
2Wsw0KI-yQg-00:13:03.791-00:13:05.666,e e grüne luft gibt es im südwesten aber auch im südosten.,45,,0.013,2.502,3.842,2.57,9.101
hHxhQ-5ms18-00:05:08.420-00:05:19.959,e luftbeeinflusst e klimatically e klimatically e energieklimatia während e klimatia im südöstlichen südöstlichen südöstlichen südöstlichen ,346,,0.059,19.687,39.077,4.19,63.225
8Pgz-GaUC6M-00:05:48.848-00:06:24.300,in den nächsten tagen ändert sich das wetter so ungewöhnlich so dass diese luft was so rudd wie portrayed in diesem dokument das heißt es stieg punkt dadurch dass diese luft wurde drängt und ,850,,0.14,48.022,101.1,4.265,153.739
5cjkZmWlhKE-00:07:44.839-00:07:46.139,e südöstlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich östlich,39,,0.013,2.251,2.819,4.229,9.484
yLfw4Ickjcg-00:00:27.920-00:00:29.160,"e wid, e grüne luft flt von südost.",38,,0.012,2.165,2.845,2.294,7.489
CvlyhtXd9e8-00:05:50.983-00:05:59.059,a wechsel between polar polarity and polar blüen.,194,,0.035,10.663,21.845,3.597,36.351
DxIpPTZM-tw-00:05:09.079-00:05:22.740,an ungewöhnlichen wegen wechselhaftes wetter während die luftdruckunterschiede bei lokalen strömungen drängen.,410,,0.068,23.233,46.676,2.886,73.041
BXjgMNlzXts-00:03:39.024-00:03:44.240,januar januar januar januar januar januar januar januar januar januar januar januar januar januar januar janu,126,,0.025,7.381,12.981,4.221,24.824
ey3i9jNcat4-00:01:26.287-00:01:28.218,e widt sich weiter richtung südost.,47,,0.016,2.709,3.662,2.079,8.64
EiPus06oKy0-00:07:01.620-00:07:19.660,es gibt zahlreiche linie rückwärts rückwärts richtung osten nebula ostsüd ostsüdwest linie ostsüd ostsüd ostsüd ostsüd ostsüd ost,541,,0.091,31.939,62.08,4.247,98.565
9GhUO_jopI0-00:05:04.519-00:05:18.000,a global research project funded by the agence financed a project d'ensemble des uvres de uvre des uvres de uvre uvred appuyad de uvre appuyad de uvre appuyad de ,405,,0.069,22.713,45.466,4.194,72.628
FND2JfzngVY-00:04:47.579-00:04:57.600,a lux entlhekte e qualità que chten juit jubil holc bei holk über den hollen holk über adel mit chten entheen holk e kte kte holk ,301,,0.053,17.161,33.944,4.188,55.557
4CZCJPhojUc-00:04:43.365-00:04:49.663,und die lüfte dreht sich langsam so dass es auffrischend und dreht.,152,,0.029,8.631,16.803,2.568,28.212
2Wsw0KI-yQg-00:00:06.125-00:00:09.454,sychichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichichi,80,,0.017,4.317,8.169,4.19,16.871
0ozA6CspdcQ-00:04:12.159-00:04:16.480,aufgrund des hohen wasserdrucks es drängt es auf jeden fall in den nächsten tagen noch weiter.,130,,0.027,7.224,13.845,2.466,23.739
EJOkupsVoqc-00:01:15.575-00:01:29.131,es bläst ein ungewöhnlich syllaben rücken der ostsee bis ostsee und dreißig ostseeküste wobei die ostseeküste bis ostseeküste blickt,407,,0.069,22.682,43.637,4.209,70.809
5V9VcrKqap0-00:03:19.417-00:03:25.667,es bläst ein grünen lichten aus diesen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen hohen,188,,0.034,10.278,19.756,4.177,34.422
eLmY7Wgy92A-00:03:56.134-00:04:04.242,e widen widen widen widen widen widen widen widen widen widen widen widen widen widen widen widen widen widen widen widen ,243,,0.044,13.364,26.114,4.186,43.92
Be7Kg0uuaBo-00:03:55.819-00:04:06.539,während dieses laufprogramm der europäischen institut für osteuropa bestimmt eicopien eu de drüben.,322,,0.055,17.799,35.18,3.786,56.996
jEMv5qYrQQU-00:00:56.155-00:01:02.762,e e strömt von osten ungemütliche luft zu uns das wechselhafte wetter hat heute mit stürmischen böen in den nächsten tagen.,199,,0.036,11.437,21.333,4.194,37.212
3Vg-kKfUHzI-00:07:20.319-00:07:29.579,es gibt diesen starken ostwind im südwesten südostwind im östlichen osten zwischen ostsee und südostwind. dieser ostwind bläst von osteuropa bis nach südost,278,,0.05,14.757,29.375,4.353,48.713
FSTcHQ4yBbw-00:07:00.040-00:07:02.160,es gibt ein paar freundliche luft vereinzelt an den küsten beim elta und diesen freundlichen luft.,51,,0.014,2.971,4.447,2.643,10.248
DGinIoH2fiE-00:05:28.959-00:05:49.259,observable von observable observables are observable in observable observables observable in observable observables observable in observable observables observables observable in observable observables observable,609,,0.102,33.354,67.862,4.217,105.747
B7ovyGxt_xk-00:04:39.423-00:04:41.379,der wind weht schwach bis mäßig.,47,,0.014,2.438,3.83,1.03,7.481
6fjvNHU3utk-00:00:15.212-00:00:19.951,es gibt eine ganze serie von rumänischen tiefdruckeinfluss die entangle sich mit lokalen stromen och holen sie hier die punkte die sehen hier die lichtblicke die winkels die sehen hier die lichtblicke die winkels,285,,0.048,15.85,32.23,4.212,52.551
BVrZ2mPsdS0-00:02:54.790-00:02:59.457,es bläst ein ströming wind mit starken bis stürmischen böen aus ost bis südost.,113,,0.023,6.583,12.349,2.492,21.626
1nJ_iACyuR8-00:05:24.800-00:05:32.720,es gibt so viele verschiedene temperaturvariation so ranging from minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus minus,238,,0.042,13.735,26.597,4.19,44.739
3zBcV4VQ2lg-00:02:27.639-00:02:35.319,es gibt a lot of nebelfelder bei lne ostsee ostseeküste ostseeküste ostseeküste ostseeküste ostseeküste ostseeküste ostseek,231,,0.042,12.785,25.404,4.195,42.637
edY8MnMxLvQ-00:12:23.809-00:12:32.317,es gibt so viele verschiedene luftmassen verschiedene luftmassen verschiedene richtungen richtung südosteuropa hängen grundsätzlich den einfluss auf den östlichen landesteilen.,255,,0.044,14.222,28.065,4.154,46.654
FSTcHQ4yBbw-00:02:23.120-00:02:24.617,"eagle, sylt, sylt, sylt, sylt, sylt, sylt, sylt, sylt, sylt, syl",36,,0.014,2.034,2.944,4.295,9.452
zj71SOX9oCo-00:24:01.665-00:24:03.583,ihnen noch einen schönen abend und machen sie es lernt.,47,,0.013,2.69,3.781,1.379,8.033
hDwx7q8PybM-00:06:31.223-00:06:50.492,qué qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu qu,462,,0.074,23.962,51.172,4.201,79.62
AcOCIO6Yvho-00:10:38.428-00:10:47.312,a tiefer luftdruck über osteuropa sorgt for turbulben turbulben luftdruck. strömt mit lokalen strom turbulben turbulben richtung weost.,214,,0.052,11.719,23.759,4.167,39.902
iFAIfRLaB64-00:03:04.039-00:03:09.199,programmed programming de kunstprogrammed programmed programmed programmed programmed programmable programmable programmable programmable programmable programmable programmable programmable programmable programmable programmable programmable,124,,0.037,7.132,12.914,4.244,24.516
3Vg-kKfUHzI-00:03:35.740-00:03:45.500,es abhängig von ligand dänemark förmlich der ostseeküste dänemark förmlich von ostseeküste dänemark ostseeküste förmlich der osts,293,,0.051,16.697,32.962,4.181,54.069
e0bxKJXsUyw-00:11:16.299-00:11:28.480,etliches hochdruckgebiete über europa strecken sich vor allem in den östlichen landesteilen während die luftdruckunterschiede über england drängen.,366,,0.062,21.934,41.104,3.519,66.83
0AQHLPt8NDk-00:05:09.141-00:05:14.079,kühle luft flütt von osteuropa bis nach südosteuropa.,148,,0.029,8.177,17.042,3.468,28.896
zj71SOX9oCo-00:03:17.207-00:03:26.790,es gibt eine kleine wetterlage que es gibt hier über europa zwischen ostsee und südosteuropa es dreht sich zwischen ostseeküste und ostseeküste dreht es hier über europa.,230,,0.04,13.333,24.614,4.227,42.419
4zsgy6DmJfA-00:08:03.519-00:08:16.079,"eaax, eaax, eaaax, eaax, eaax, eaax, eaax, eaax, eaax, eaax, e",377,,0.067,20.575,42.527,4.241,67.595
0JWnUGQrtIs-00:06:58.500-00:06:59.800,es gibt ein paar freundliche vereinzelt vereinzelt sprächtige vereinzelt sprächtige vereinzelt sprächtige vereinzelt sprächtige vereinzelt sprächtige,39,,0.011,2.093,2.66,4.34,9.279
C-lM9br1t-c-00:00:08.919-00:00:10.900,e e flint fast. e strömt mit sand. e strömt zu sand. e strömt zu sand. e strömt zu sand.,60,,0.015,3.388,5.284,4.352,13.218
hDwx7q8PybM-00:02:22.057-00:02:56.008,based on observable observables of observable observables de observables de observables de observables de observables de observables de observables observable den observables observables observable,815,,0.136,44.449,92.269,4.219,141.286
Exjh4uwEBhM-00:04:15.400-00:04:18.480,in stylen linie                           ,93,,0.022,5.385,13.606,4.205,23.397
AcOCIO6Yvho-00:11:29.187-00:11:32.942,und das ändert sich vor allem in den nächsten tagen wenn es wärmeraus auf unserem wetter ändert.,91,,0.019,5.107,9.59,2.505,17.402
BYUE92j4p5U-00:11:07.720-00:11:22.379,e ludt e widt sich wid e wid e wid e wid e wid e wid e wid e wid wid e wid wid e wid wid e wid wid,440,,0.073,24.661,50.796,4.245,79.987
EslZp7UiTck-00:06:23.283-00:06:28.887,die wetterlage ändert sich im laufe des tages mit varying amplitudes zwischen ostwärts und nördlichen richtungs.,168,,0.034,9.406,18.944,2.834,31.395
5-XiLc5yNM4-00:10:15.559-00:10:22.419,es hat sich bisher nicht viel darüber rückt denn es entspannt sich enfin es entspannt sich enfin es entspannt es e e entspannt es e e entspannt,206,,0.039,11.367,22.587,4.182,38.384
0QgDWB3M47g-00:09:58.600-00:10:07.200,es war nicht mehr wetterabhängige wetter es ändert sich ständig. es ändert sich täglich an den frischen frischen frischen südwinde wind richtung ostseeküste wind.,258,,0.045,14.997,29.552,4.181,48.96
0AQHLPt8NDk-00:03:03.983-00:03:13.293,es gibt so viele guten punkten in den blauen mittelmeer streifen den rücken diese blauen mittelmeer streifen den rücken diese blauen mittelmeer streifen wählten vor allen dingen,280,,0.048,18.416,32.461,4.341,55.446
9C82salEk7w-00:02:25.687-00:02:46.123,luda borta luda borta luda borta luda borta luda borta luda borta luda borta,490,,0.082,27.32,54.526,4.246,86.385
gdVQKVcjBO8-00:01:58.680-00:02:07.040,es bläst ein wechsel aus unterschiedlichen strom ostsee ostseeküste und ostseeküste ostseeküste aus unterschiedlichen nördlichen ostseeküste ostseeküste ostseeküste,251,,0.045,13.98,27.568,4.222,46.025
1cT9kp1pI8A-00:02:16.510-00:02:36.489,es ändert sich vor allem in den nächsten tagen wenn es wieder ändert sich. unwetterwarnungen des deutschen wetterdienstes.,480,,0.078,26.127,53.932,4.236,84.554
4CZCJPhojUc-00:05:18.860-00:05:23.113,es liegt auf den flussdreißien es liegt zwischen diesen kühlen mittelmeer felder.,102,,0.023,5.516,10.589,2.15,18.491
B0jTPtxw3WA-00:00:35.560-00:00:47.799,a blümen – a blümen – a blüm – a blüm – a blüm – a blüm – a blüm – a bl,368,,0.062,20.547,41.814,4.228,66.828
5udliYZHcX4-00:04:06.496-00:04:21.011,hier unten ein bild von ein rotatable wetterbild von ein rotatable nebula forming a linte blüte forming a blüte forming a blüte forming a,436,,0.073,24.882,49.753,4.258,79.177
G3zfes_ZL5U-00:07:54.740-00:07:57.142,und diese luft ist wirklich groß und von den küsten aus den hohen mittelgebirgen.,58,,0.014,3.378,5.689,1.96,11.211
EiPus06oKy0-00:01:57.700-00:02:09.360,es geht los in den nächsten tagen mit lokalen strömungs von osteuropa bis nach südosteuropa aber die ostseeküste schottland schottland ostseeküste ostseek,350,,0.059,19.413,38.788,4.235,62.707
9C82salEk7w-00:16:59.643-00:17:14.782,e e wartet derzeit eine stabile wetterfront unwetterwarnungen compiled by den deutschen wetterdienst unwetterwarnungen.,363,,0.062,20.663,41.041,2.894,64.836
CUIp1T0qhWs-00:14:21.442-00:14:26.197,es gibt aber zahlreiche nebelfelder wahrscheinlich gebaut von eifel ostsee hohen pfalz bis ostschottland.,115,,0.025,6.55,12.842,3.014,22.611
3Vg-kKfUHzI-00:01:16.640-00:01:22.060,es gibt einige verschiedene werte abgesehen von werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte werte,163,,0.031,9.4,18.681,4.223,32.546
cvqbe6xyT7Y-00:01:08.435-00:01:11.737,die größten flusst auf den nebel obwohl diese luft nicht wirklich auf den grund der eland liegt.,198,,0.037,11.942,22.26,2.291,36.705
FND2JfzngVY-00:00:31.699-00:00:32.859,hefffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,35,,0.011,2.018,2.886,4.263,9.35
Be7Kg0uuaBo-00:04:22.660-00:04:25.699,es gibt aber zahlreiche turbulences im westen und südwesten aber nicht mehr so viel.,92,,0.021,5.305,9.74,2.514,17.758
zCjNh65JKWs-00:01:03.299-00:01:28.959,lus ls ls ls ls ls ls ls ls ls ls ls l,770,,0.127,44.619,90.493,4.226,139.681
9TWvWwI3jG4-00:14:53.250-00:15:02.416,es ändert sich langsam e e e ändert sich vor allem in südost europa e änder sich vor allem in sachsen aber e ändert sich vor allem in europa e änder sich vor allem in europa,220,,0.041,12.645,25.042,4.181,42.087
9C82salEk7w-00:13:30.308-00:13:38.484,südöstlich europa zieht ein tief über osteuropa und südosteuropa dräht seinen ausfluss auf osteuropa.,197,,0.035,11.542,21.861,2.598,36.213
eK0qbGyQ-eA-00:12:16.360-00:12:19.113,hohen pfalenheit bei sonne. hohen pfalenhohen hohen pfalen. hohen pfalen. hohen pfalen. hohen pfalen. hohen pfalen.,67,,0.016,3.85,6.618,4.192,14.853
336iG0cnp1I-00:04:22.660-00:04:32.470,lücke auf den blauen cirlen blühten lücke auf den blauen cirlen blühende oktober.,295,,0.053,17.118,33.266,3.994,54.641
2Wsw0KI-yQg-00:17:16.083-00:17:37.290,et sorgt dafür dass diese luft zu england dänt sich ständig umdos über osteuropa dänte osteuropas das ostklimatiskum bei dänischen böen ausbrückt.,509,,0.083,31.933,58.827,4.2,95.253
EslZp7UiTck-00:10:28.326-00:10:30.062,es bildet sich hier und da nebel.,53,,0.014,3.088,4.747,2.477,10.497
4zsgy6DmJfA-00:00:28.019-00:00:29.519,ich wünsche ihnen einen schönen abend mit guten gesprächen.,45,,0.013,2.523,3.72,1.451,7.877
fKp-LcL_C0g-00:01:04.079-00:01:13.689,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,289,,0.049,18.722,32.757,4.186,55.892
9TWvWwI3jG4-00:15:49.332-00:15:59.250,e e strömt frost bis südost in schritte schritte schritte schritte e strömt in osteuropa die luft mit strömen und strömt dabei die luft zu europa.,239,,0.043,13.708,26.633,3.924,44.52
fQLaFTniURg-00:07:06.500-00:07:17.660,if e e drüben im januar e f rüben im januar e f rissen im rhein oder flint im rhein oder flint im rhein oder ,335,,0.057,18.799,37.892,4.184,61.11
63hltb-VK6Y-00:09:01.173-00:09:18.323,e                               ,412,,0.069,22.651,47.888,4.216,75.035
edY8MnMxLvQ-00:02:52.506-00:03:05.185,es breitet sich langsam aus den nördlichen nordost nordwesten ostwärts aus den ostwärts ostwärts ostwärts ostwärts ostwärts in den nächsten stunden schritte schritte in den schritte schritte in den ,380,,0.063,22.28,43.965,4.197,70.717
1c1aGRdDYB8-00:10:33.879-00:10:36.028,w hat ihnen noch einen schönen start in den dienst.,65,,0.017,3.679,6.738,1.949,12.56
3TEQLFpSk2I-00:08:53.240-00:08:54.480,"sachsen, flüss, sachsen, flüss, sachsen, sachsen, flüss, sachsen, sachsen, sachsen,",38,,0.011,2.089,2.896,4.361,9.533
